"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 13:15:29 GMT 2021","Sat Aug 21 13:15:43 GMT 2021","13875","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"passed","Sat Aug 21 13:13:59 GMT 2021","Sat Aug 21 13:14:12 GMT 2021","13152","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"passed","Sat Aug 21 13:13:56 GMT 2021","Sat Aug 21 13:13:59 GMT 2021","3532","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Sat Aug 21 13:13:52 GMT 2021","Sat Aug 21 13:13:56 GMT 2021","3805","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 13:14:53 GMT 2021","Sat Aug 21 13:15:00 GMT 2021","6068","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Sat Aug 21 13:15:19 GMT 2021","Sat Aug 21 13:15:29 GMT 2021","10620","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Sat Aug 21 13:15:07 GMT 2021","Sat Aug 21 13:15:19 GMT 2021","11430","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"broken","Sat Aug 21 13:14:12 GMT 2021","Sat Aug 21 13:14:40 GMT 2021","27392","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"failed","Sat Aug 21 13:15:00 GMT 2021","Sat Aug 21 13:15:07 GMT 2021","7683","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"failed","Sat Aug 21 13:14:40 GMT 2021","Sat Aug 21 13:14:53 GMT 2021","13581","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 13:13:48 GMT 2021","Sat Aug 21 13:13:52 GMT 2021","3586","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
